EPOCH                                      MMS4_R_GEO_X                MMS4_R_GEO_Y                MMS4_R_GEO_Z                MMS4_V_GEO_X                MMS4_V_GEO_Y                MMS4_V_GEO_Z
dd-mm-yyyy hh:mm:ss.mil.mic                          km                          km                          km                        km/s                        km/s                        km/s
09-12-2016 09:00:01.840.000                     35844.9                     58935.3                    -27909.8                   -0.515360                    0.982333                    0.123889
09-12-2016 09:00:01.870.000                     35845.0                     58935.3                    -27909.8                   -0.515359                    0.982333                    0.123890
09-12-2016 09:00:01.900.000                     35845.1                     58935.2                    -27909.8                   -0.515358                    0.982332                    0.123891
09-12-2016 09:00:01.930.000                     35845.2                     58935.2                    -27909.8                   -0.515357                    0.982332                    0.123892
09-12-2016 09:00:01.960.000                     35845.4                     58935.1                    -27909.8                   -0.515356                    0.982331                    0.123893
09-12-2016 09:00:01.990.000                     35845.5                     58935.1                    -27909.8                   -0.515355                    0.982330                    0.123893
09-12-2016 09:00:02.020.000                     35845.6                     58935.0                    -27909.8                   -0.515354                    0.982330                    0.123894
09-12-2016 09:00:02.050.000                     35845.7                     58935.0                    -27909.8                   -0.515352                    0.982329                    0.123895
09-12-2016 09:00:02.080.000                     35845.8                     58934.9                    -27909.8                   -0.515351                    0.982329                    0.123896
09-12-2016 09:00:02.110.000                     35845.9                     58934.9                    -27909.8                   -0.515350                    0.982328                    0.123897
09-12-2016 09:00:02.140.000                     35846.0                     58934.8                    -27909.8                   -0.515349                    0.982328                    0.123897
09-12-2016 09:00:02.170.000                     35846.2                     58934.8                    -27909.8                   -0.515348                    0.982327                    0.123898
09-12-2016 09:00:02.200.000                     35846.3                     58934.7                    -27909.8                   -0.515347                    0.982326                    0.123899
09-12-2016 09:00:02.230.000                     35846.4                     58934.7                    -27909.8                   -0.515346                    0.982326                    0.123900
09-12-2016 09:00:02.260.000                     35846.5                     58934.6                    -27909.8                   -0.515345                    0.982325                    0.123901
09-12-2016 09:00:02.290.000                     35846.6                     58934.6                    -27909.8                   -0.515344                    0.982325                    0.123901
09-12-2016 09:00:02.320.000                     35846.7                     58934.5                    -27909.8                   -0.515342                    0.982324                    0.123902
09-12-2016 09:00:02.350.000                     35846.8                     58934.5                    -27909.8                   -0.515341                    0.982323                    0.123903
09-12-2016 09:00:02.380.000                     35846.9                     58934.4                    -27909.8                   -0.515340                    0.982323                    0.123904
09-12-2016 09:00:02.410.000                     35847.1                     58934.4                    -27909.7                   -0.515339                    0.982322                    0.123905
09-12-2016 09:00:02.440.000                     35847.2                     58934.3                    -27909.7                   -0.515338                    0.982322                    0.123906
09-12-2016 09:00:02.470.000                     35847.3                     58934.3                    -27909.7                   -0.515337                    0.982321                    0.123906
09-12-2016 09:00:02.500.000                     35847.4                     58934.2                    -27909.7                   -0.515336                    0.982321                    0.123907
09-12-2016 09:00:02.530.000                     35847.5                     58934.2                    -27909.7                   -0.515335                    0.982320                    0.123908
09-12-2016 09:00:02.560.000                     35847.6                     58934.1                    -27909.7                   -0.515334                    0.982319                    0.123909
09-12-2016 09:00:02.590.000                     35847.7                     58934.1                    -27909.7                   -0.515333                    0.982319                    0.123910
09-12-2016 09:00:02.620.000                     35847.9                     58934.0                    -27909.7                   -0.515331                    0.982318                    0.123910
09-12-2016 09:00:02.650.000                     35848.0                     58934.0                    -27909.7                   -0.515330                    0.982318                    0.123911
09-12-2016 09:00:02.680.000                     35848.1                     58933.9                    -27909.7                   -0.515329                    0.982317                    0.123912
09-12-2016 09:00:02.710.000                     35848.2                     58933.9                    -27909.7                   -0.515328                    0.982316                    0.123913
09-12-2016 09:00:02.740.000                     35848.3                     58933.8                    -27909.7                   -0.515327                    0.982316                    0.123914
09-12-2016 09:00:02.770.000                     35848.4                     58933.8                    -27909.7                   -0.515326                    0.982315                    0.123914
09-12-2016 09:00:02.800.000                     35848.5                     58933.7                    -27909.7                   -0.515325                    0.982315                    0.123915
